LAST SEEN   TYPE      REASON                   OBJECT                                           MESSAGE
3h36m       Normal    TaintManagerEviction     pod/hdfs-datanode-0                              Marking for deletion Pod openshift-metering/hdfs-datanode-0
168m        Normal    Scheduled                pod/hdfs-datanode-0                              Successfully assigned openshift-metering/hdfs-datanode-0 to ip-10-0-130-174.us-west-2.compute.internal
168m        Normal    SuccessfulAttachVolume   pod/hdfs-datanode-0                              AttachVolume.Attach succeeded for volume "pvc-9efba500-ca87-11e9-a248-0698e01dcbf2"
168m        Normal    Pulling                  pod/hdfs-datanode-0                              Pulling image "quay.io/openshift/origin-metering-hadoop:4.1"
168m        Normal    Pulled                   pod/hdfs-datanode-0                              Successfully pulled image "quay.io/openshift/origin-metering-hadoop:4.1"
168m        Normal    Created                  pod/hdfs-datanode-0                              Created container wait-for-namenode
168m        Normal    Started                  pod/hdfs-datanode-0                              Started container wait-for-namenode
167m        Normal    Pulling                  pod/hdfs-datanode-0                              Pulling image "quay.io/openshift/origin-metering-hadoop:4.1"
167m        Normal    Pulled                   pod/hdfs-datanode-0                              Successfully pulled image "quay.io/openshift/origin-metering-hadoop:4.1"
167m        Normal    Created                  pod/hdfs-datanode-0                              Created container hdfs-datanode
167m        Normal    Started                  pod/hdfs-datanode-0                              Started container hdfs-datanode
153m        Normal    Killing                  pod/hdfs-datanode-0                              Stopping container hdfs-datanode
150m        Normal    TaintManagerEviction     pod/hdfs-datanode-0                              Cancelling deletion of Pod openshift-metering/hdfs-datanode-0
150m        Normal    Scheduled                pod/hdfs-datanode-0                              Successfully assigned openshift-metering/hdfs-datanode-0 to ip-10-0-142-130.us-west-2.compute.internal
150m        Warning   FailedAttachVolume       pod/hdfs-datanode-0                              Multi-Attach error for volume "pvc-9efba500-ca87-11e9-a248-0698e01dcbf2" Volume is already exclusively attached to one node and can't be attached to another
150m        Normal    SuccessfulAttachVolume   pod/hdfs-datanode-0                              AttachVolume.Attach succeeded for volume "pvc-9efba500-ca87-11e9-a248-0698e01dcbf2"
149m        Normal    Pulling                  pod/hdfs-datanode-0                              Pulling image "quay.io/openshift/origin-metering-hadoop:4.1"
149m        Normal    Pulled                   pod/hdfs-datanode-0                              Successfully pulled image "quay.io/openshift/origin-metering-hadoop:4.1"
149m        Normal    Created                  pod/hdfs-datanode-0                              Created container wait-for-namenode
149m        Normal    Started                  pod/hdfs-datanode-0                              Started container wait-for-namenode
149m        Normal    Pulling                  pod/hdfs-datanode-0                              Pulling image "quay.io/openshift/origin-metering-hadoop:4.1"
149m        Normal    Pulled                   pod/hdfs-datanode-0                              Successfully pulled image "quay.io/openshift/origin-metering-hadoop:4.1"
149m        Normal    Created                  pod/hdfs-datanode-0                              Created container hdfs-datanode
149m        Normal    Started                  pod/hdfs-datanode-0                              Started container hdfs-datanode
139m        Normal    Killing                  pod/hdfs-datanode-0                              Stopping container hdfs-datanode
136m        Normal    TaintManagerEviction     pod/hdfs-datanode-0                              Cancelling deletion of Pod openshift-metering/hdfs-datanode-0
136m        Normal    Scheduled                pod/hdfs-datanode-0                              Successfully assigned openshift-metering/hdfs-datanode-0 to ip-10-0-130-174.us-west-2.compute.internal
135m        Normal    SuccessfulAttachVolume   pod/hdfs-datanode-0                              AttachVolume.Attach succeeded for volume "pvc-9efba500-ca87-11e9-a248-0698e01dcbf2"
135m        Normal    Pulling                  pod/hdfs-datanode-0                              Pulling image "quay.io/openshift/origin-metering-hadoop:4.1"
135m        Normal    Pulled                   pod/hdfs-datanode-0                              Successfully pulled image "quay.io/openshift/origin-metering-hadoop:4.1"
135m        Normal    Created                  pod/hdfs-datanode-0                              Created container wait-for-namenode
